% Arquivo ARFF IA - JORGE NUNES -  A arte de programar em java %
@relation ReclamacoesDoConsumidor
@attribute regiao                 {CO, N, NE, S, SE}
@attribute sexo                   {M, F}
@attribute faixaEtaria            {até-20-anos, entre-21-a-30-anos, entre-31-a-40-anos, entre-41-a-50-anos, entre-51-a-60-anos, entre-61-a-70-anos, mais-de-70-anos}
@attribute tempoResposta          NUMERIC
@attribute nomeFantasia           {Banco-Votorantim, Bradesco-AutoRE, Aliança-do-Brasil, American-Express-Amex, Americanas-Viagens, Americanas.com, AOC, Ativos-S.A, Amil, Atlas-Eletrodomésticos, Avianca-Oceanair, Banco-BMG, Banco-Bradesco, Banco-Cifra, Banco-do-Brasil, Banco-Fiat, Banco-Itaú-Unibanco, Banco-Pan-(Panamericano), Banco-Santander, Banco-Santander-Cartões, Banco Votorantim, BB-Consórcios, BIG, Bradescard, Bradesco-Auto/RE, Bradesco-Cartões, Bradesco-Consórcio, Bradesco-Financiamentos, Bradesco-Promotora,  Bradesco-Saúde, Bradesco-Seguros, Bradesco-Vida-e-Previdência, Brasilprev-Seguros-e-Previdência, Brastemp, BV-Financeira, BV-Leasing, Caixa-Capitalização, Caixa-Consórcios, Caixa-Econômica-Federal, Caixa-Previdência, Caixa-Seguros, Cardif-Seguros-e-Garantias, Carrefour, Cartão-Carrefour, Cartão-Quero-Quero-VerdeCard, Cartão-Submarino, Casas-Bahia, Casasbahia.com, Centauro, Centauro.com.br, City-Lar, Claro-Celular, Claro-Fixo-Embratel, Claro-TV, Compra-Certa, Consórcio-Fiat, Consul, CPFL-Energia, Credicard, Credipar, Decolar.com, Dental-Uni, Drogasil, Eletro-Shopping, Extra, Extra.com, Financeira-Itaú-Americanas, Garantec, Girafa-Comércio-Eletrônico, Gol-Linhas-Aéreas, GVT, Hiper-Bompreço, Hipercard, HSBC, Ingresso.com, Insinuante, Intelig, Itaú-BMG-Consignado, Itaú-Consórcio, Itaú-Seguros, Itaú-Seguros-Auto-e-Residência, Itaú-Unibanco-Consignado, Itaú-Unibanco-Crédito-Imobiliário, Itaucard, Itauleasing, KaBuM!, Komeco, Latina-Eletrodomésticos, LG-Electronics, Lojas-Americanas, Lojas-Colombo, Lojas-Colombo.com, Lojas-Quero-Quero, Losango, Luizacred, Luizaseg, Magazine-Luiza, Magazineluiza.com, Mapfre-Seguros, Moip, Nacional, Netfarma, Novo-Mundo, O-Boticário, Odontoprev, Oi-Celular, Oi-Fixo, Oi-Paggo-Administradora-de-Crédito, Ourocard, Panvel-Farmácias, Pão-de-Açúcar, Philips-Áudio-e-Vídeo, Philips-TV-e-Monitores, Philips-Walita-Avent-Saeco-e-Sonicare, Polishop, Polishop.com.br, Ponto-Frio, Pontofrio.com, Portal-Terra, Purificador-de-Água-Brastemp, Recovery-do-Brasil-Consultoria, RGE-Rio-Grande-Energia, Ricardo-Eletro, Ricardo-Eletro.com, Sam´s-Club, Samsung, Santander-Financiamentos, Senff, Serasa-Experian, Shoptime, SKY, Smiles, Sou-barato, Submarino, Submarino-Viagens, SuperMuffato.com, Tam, Tim, Unimed-Paulistana, ViajaNet, Vivo-Telefônica, Walmart, Walmart.com, Wine, Yasuda-Marítima-Seguros}
@attribute segmentodeMercado      {Fabricantes-Eletroeletrônicos-Produtos-de-Telefonia-e-Informática, Fabricantes-Linha-Branca, Administradoras-de-Consórcios, Agências-de-Viagens, Artigos-Esportivos, Corretoras-e-Sociedades-de-Seguros-Capitalização-e-Previdência, Bancos-de-Dados-e-Cadastros-de-Consumidores, Bancos, Bancos-Financeiras-e-Administradoras-de-Cartão, Financeiras-e-Administradoras-de-Cartão, Comércio-Eletrônico, Corretoras-e-Sociedades-de-Seguros, Capitalização-e-Previdência, Empresas-de-Pagamento-Online, Empresas-de-Recuperação-de-Crédito, Energia-Elétrica-Gás-Água-e-Esgoto, Fabricantes-Eletroeletrônicos,  Produtos-de-Telefonia-e-Informática, Fabricantes-Eletroportáteis-e-Artigos-de-Uso-Doméstico-e-Pessoal, Fabricantes-Linha Branca, Farmácias, Operadoras-de-Planos-de-Saúde-e-Administradoras-de-Benefícios, Operadoras-de-Telecomunicações-(Telefonia-Internet-TV-por-assinatura), Perfumaria-Cosméticos-e-Higiene-Pessoal, Programas-de-Fidelidade, Provedores-de-Conteúdo-e-Outros-Serviços-de-Informação-na-Internet, Supermercados, Transporte-Aéreo, Varejo}
@attribute grupoProblema          {Atendimento-SAC, Cobrança-Contestação, Contrato-Oferta, Entrega-do-Produto, Informação, Saúde-e-Segurança, Vício-de-Qualidade}
@attribute comoComprouContratou   {Não-comprei-contratei, Internet, Telefone, Domicílio, Loja-física, Ganhei-de-presente, Catálogo, Stand, Stand-feiras-e-eventos}
@attribute procurouEmpresa        {S, N}
@attribute respondida             {S, N}
@attribute avaliacaoReclamacao    {Resolvida, Não-Resolvida}

@data
SE, M, entre-51-a-60-anos, 7, Aliança-do-Brasil, Corretoras-e-Sociedades-de-Seguros-Capitalização-e-Previdência, Atendimento-SAC, Não-comprei-contratei, S, S, Resolvida
NE, M, entre-21-a-30-anos, 4, Aliança-do-Brasil, Corretoras-e-Sociedades-de-Seguros-Capitalização-e-Previdência, Atendimento-SAC, Não-comprei-contratei, S, S, Não-Resolvida
SE, M, entre-31-a-40-anos, 7, American-Express-Amex, Bancos-Financeiras-e-Administradoras-de-Cartão, Cobrança-Contestação, Não-comprei-contratei, S, S, Resolvida
SE, M, entre-21-a-30-anos, 10, American-Express-Amex, Bancos-Financeiras-e-Administradoras-de-Cartão, Contrato-Oferta, Internet, S, S, Não-Resolvida
N, F, entre-21-a-30-anos, 8, American-Express-Amex, Bancos-Financeiras-e-Administradoras-de-Cartão, Vício-de-Qualidade, Internet, S, S, Não-Resolvida
NE, M, entre-21-a-30-anos, 4, American-Express-Amex, Bancos-Financeiras-e-Administradoras-de-Cartão, Contrato-Oferta, Telefone, S, S, Resolvida
SE, F, entre-21-a-30-anos, 10, American-Express-Amex, Bancos-Financeiras-e-Administradoras-de-Cartão, Contrato-Oferta, Internet, S, S, Não-Resolvida
S, M, entre-41-a-50-anos, 2, American-Express-Amex, Bancos-Financeiras-e-Administradoras-de-Cartão, Cobrança-Contestação, Internet, S, S, Resolvida
S, M, entre-21-a-30-anos, 6, American-Express-Amex, Bancos-Financeiras-e-Administradoras-de-Cartão, Vício-de-Qualidade, Domicílio, S, S, Resolvida
S, M, entre-31-a-40-anos, 9, American-Express-Amex, Bancos-Financeiras-e-Administradoras-de-Cartão, Contrato-Oferta, Telefone, S, S, Resolvida
SE, F, entre-51-a-60-anos, 4, Americanas-Viagens, Agências-de-Viagens, Contrato-Oferta, Telefone, S, S, Não-Resolvida
CO, M, entre-21-a-30-anos, 5, Americanas.com, Comércio-Eletrônico, Contrato-Oferta, Internet, S, S, Não-Resolvida
SE, M, entre-21-a-30-anos, 3, Americanas.com, Comércio-Eletrônico, Contrato-Oferta, Internet, N, S, Não-Resolvida
NE, M, entre-21-a-30-anos, 8, Americanas.com, Comércio-Eletrônico, Contrato-Oferta, Loja-física, S, S, Não-Resolvida
NE, M, entre-21-a-30-anos, 5, Americanas.com, Comércio-Eletrônico, Contrato-Oferta, Internet, S, S, Resolvida
S, M, entre-21-a-30-anos, 5, Americanas.com, Comércio-Eletrônico, Contrato-Oferta, Internet, S, S, Não-Resolvida
NE, F, entre-21-a-30-anos, 5, Americanas.com, Comércio-Eletrônico, Contrato-Oferta, Internet, S, S, Não-Resolvida
SE, F, entre-31-a-40-anos, 4, Americanas.com, Comércio-Eletrônico, Cobrança-Contestação, Internet, S, S, Resolvida
SE, F, entre-31-a-40-anos, 4, Americanas.com, Comércio-Eletrônico, Vício-de-Qualidade, Internet, N, S, Não-Resolvida
SE, M, entre-31-a-40-anos, 5, Americanas.com, Comércio-Eletrônico, Contrato-Oferta, Internet, S, S, Não-Resolvida
SE, M, entre-31-a-40-anos, 8, Americanas.com, Comércio-Eletrônico, Contrato-Oferta, Internet, S, S, Resolvida
SE, M, entre-21-a-30-anos, 2, Americanas.com, Comércio-Eletrônico, Atendimento-SAC, Internet, S, S, Resolvida
SE, F, entre-61-a-70-anos, 5, Americanas.com, Comércio-Eletrônico, Cobrança-Contestação, Internet, N, S, Resolvida
SE, M, entre-61-a-70-anos, 1, Americanas.com, Comércio-Eletrônico, Contrato-Oferta, Internet, S, S, Não-Resolvida
SE, M, entre-31-a-40-anos, 4, Americanas.com, Comércio-Eletrônico, Cobrança-Contestação, Internet, S, S, Resolvida
NE, F, entre-31-a-40-anos, 5, Americanas.com, Comércio-Eletrônico, Cobrança-Contestação, Internet, S, S, Resolvida
N, M, entre-31-a-40-anos, 5, Americanas.com, Comércio-Eletrônico, Contrato-Oferta, Internet, N, S, Não-Resolvida
SE, M, entre-21-a-30-anos, 8, Americanas.com, Comércio-Eletrônico, Contrato-Oferta, Internet, S, S, Não-Resolvida
S, M, entre-31-a-40-anos, 4, Americanas.com, Comércio-Eletrônico, Contrato-Oferta, Internet, S, S, Resolvida
NE, M, entre-41-a-50-anos, 4, Americanas.com, Comércio-Eletrônico, Entrega-do-Produto, Internet, S, S, Não-Resolvida
SE, M, entre-51-a-60-anos, 4, Americanas.com, Comércio-Eletrônico, Contrato-Oferta, Internet, S, S, Resolvida
SE, M, entre-31-a-40-anos, 6, Americanas.com, Comércio-Eletrônico, Contrato-Oferta, Internet, S, S, Resolvida
SE, M, entre-31-a-40-anos, 5, Americanas.com, Comércio-Eletrônico, Atendimento-SAC, Internet, S, S, Resolvida
SE, M, entre-21-a-30-anos, 3, Americanas.com, Comércio-Eletrônico, Contrato-Oferta, Internet, S, S, Resolvida
